text,category,priority
I would like to request an official letter confirming my student status for my bank.,Administration,Low
i need to report that my password has been changed without my permission and i cannot access my final project.,Technical,High
i'm tryin to find out how to apply for a student loan for the next semester. where do i start with that?,Finance,Medium
the library's copier is jammed again. can someone please fix it?,Library,Low
the main water pipe in my dorm room just burst. water is everywhere and my electronics are getting soaked.,Housing,High
Someone in my dorm is playing extremely loud music late at night. Can someone please tell them to stop?,Housing,Medium
I would like to inquire about the possibility of living in the student apartments for the next academic year instead of the dorms.,Housing,Low
Enrollment verification letter required.,Administration,Medium
I am getting an error code 403 when trying to access the student registration page.,Technical,Medium
Dorm room faucet leaking.,Housing,Medium
I am trying to register for my Spring classes but there is a 'Advisor Hold' on my account even though I met with them on Monday.,Academic,Medium
URGENT PLEASE!!!!! I LOST MY FAVORITE WATER BOTTLE IN THE LIBRARY HAS ANYONE SEEN IT PLS LET ME KNOW!!!!!!!,Library,Low
I found a charge for 'Health Center Fee' on my bill but I've never used the health center. Can this be removed?,Finance,Medium
The vending machine in the library lobby just gave me a bag of chips that expired six months ago. Can I get a refund?,Administration,Low
I noticed that the carpet in the hallway of building A is coming up at the edges.,Housing,Low
I noticed that the printer in the basement of the library is out of paper. Can someone refill it?,Library,Low
i am literalyl panicking bc i cant find the gym hours anywhere online i need to work out now or i will go crazy!!!! help me!!!!,Administration,Low
I would like to request a change of room because my current roommate is very noisy and I'm having trouble studying.,Housing,Medium
I would like to request a new chair for my dorm room because this one is broken and unstable.,Housing,Low
Can I get a copy of my class schedule mailed to my home address?,Academic,Low
My final project is stuck in the 3D printer and it's making a burning smell. Please come to the makerspace now!!,Technical,High
A student is being held against their will in the library study carrels. This is a hostage situation.,Library,High
Could you provide a list of recommended readings for the upcoming English 101 course for the fall?,Academic,Low
"i accidentally uploaded the wrong essay for my application. the deadline is still 4 days away, can u please unlock it so i can re-upload?",Admissions,Medium
I noticed someone accessing my student account from a different country. They are deleting my stored assignments right now.,Technical,High
can u tell me if the library has any group study rooms available for the next hour?,Library,Low
Can I change my major from Biology to Chemistry in the middle of the semester?,Admissions,Medium
I noticed that the library website is down and I am unable to access the online databases for my research paper.,Library,Medium
course materials occasionally fail to download,Academic,Medium
i cant find the book 'economic theory' on the shelves even though it says its in. can someone check the back?,Library,Medium
My roommate has been bringing over guests every single night despite our agreement. I need a mediator to help us resolve this.,Housing,Medium
"the lab printer is on fire. seriously, there is smoke and flames coming from the toner tray.",Technical,High
The medicine cabinet in my dorm bathroom is broken.,Housing,Low
i want to know if i can bring a microwave to my dorm room if it's under a certain wattage or if that's banned.,Housing,Medium
I am calm but the university's graduation application has misplaced my honors thesis approval and the deadline for inclusion in the program is today.,Academic,High
I would like to request a copy of the university's policy on information technology resources.,Technical,Low
OMG HELP ME NOW!!!! I NEED TO KNOW IF THE GYM HAS LOCKERS FOR RENT OR IF I BRING MY OWN PLS REPLY ASAP!!!!!!!!!,Administration,Low
minor formatting issue in official certificate,Administration,Medium
i need my official transcripts sent to the embassy by tomorrow or my visa will be denied.,Academic,High
dorm visitor hours inquiry,Housing,Low
room door stuck and cannot enter overnight,Housing,High
guest policy dorm?,Housing,Low
wifi dropped during quiz submission just now,Technical,High
I am writing to inquire about the possibility of changing my major from Chemistry to Biology starting next semester. Could you provide the required documentation?,Academic,Medium
Can I get a list of all the student organizations that are focused on student mental health and academic success?,Administration,Low
is there a way to request a specific room in the dorm or is it first come first served for everybody this year?,Housing,Medium
URGENT PLS!!!! I NEED TO KNOW IF THE LIBRARY IS OPEN UNTIL MIDNIGHT TONIGHT I HAVE SO MUCH STUDYING TO DO PLS HELP!!!!!!!,Library,Low
"hello, i think i left my umbrella in the library yesterday near the south entrance. its blue with white dots.",Library,Low
THE HEATER IN MY DORM IS MAKING A CLICKING NOISE AND I CANT SLEEP!! I AM SO TIRED I MIGHT FAIL MY EXAMS!! FIX IT FIX IT FIX IT!!,Housing,Medium
My meal plan card isn't working at the dining hall today. The cashier said it showed an 'invalid user' error.,Administration,Medium
I am calm but my financial aid disbursement is late and i am about to be evicted from my apartment because i cannot pay rent today.,Finance,High
Can I change my major from Psychology to Marketing after the first semester ends?,Academic,Low
I would like to request a copy of the university's policy on student travel from the administration office.,Administration,Low
URGENT!!!!! I NEED TO KNOW IF THE LIBRARY HAS ANY PENS I FORGOT MINE AT HOME AND I HAVE A TEST IN 5 MINS HELP!!!!!!!,Library,Medium
I am calm but i need to report that my password was changed without permission and i cannot access my project due at midnight.,Technical,High
i need to change my dorm assignment because my roommate snores and i have a slight headache. i need this fixed right now!!,Housing,Low
i am currently in the hospital and will miss my final exam in 2 hours. i have the doctor's note and am writing this calmly.,Academic,High
idk how to check the hours for the student health center. is it open on saturdays? i need to know for my checkup.,Admissions,Low
"I received an email stating that my student health insurance fee was not paid, but I have a waiver. I need this corrected so I can access my grades.",Finance,Medium
"MFA code never arrives, can't login.",Technical,High
I need help with my application for a student grant for social justice projects.,Academic,Low
I am having trouble with the citations in my paper. Does the library offer any workshops on APA format?,Library,Low
I AM FREAKING OUT BECAUSE I DONT KNOW IF THE ACADEMIC OFFICE HAS A GUEST BOOK TO SIGN!!!!,Academic,Low
I would like to know the current interest rates for the university-specific emergency loans.,Finance,Low
I need help with my application for a student scholarship for students in the physical and computer sciences.,Finance,Low
The scholarship funds have not been applied to my account balance and the payment is due at midnight tonight.,Finance,High
OH MY GOD PLEASE TELL ME IF I AM ALLOWED TO BRING A MINI FIGURINE OF A GNOME TO MY DORM ROOM!!!!,Housing,Low
I noticed that the air conditioning in my dorm room is making a very loud rattling noise and it's keeping me awake throughout the night.,Housing,Medium
minor formatting issue in issued certificate,Administration,Medium
URGENT!!! I am being locked out of the registration system and my priority window closes in 30 minutes. Please fix this!,Technical,High
I'm looking for information on how to join the chess club. Do you have a contact list for student organizations?,Administration,Low
general guidance on admin submission timelines,Administration,Low
the wifi password for the guest network isnt working. can u pls update it?,Technical,Low
I need to know the requirements for the study abroad program in Italy for next fall.,Academic,Low
i'm having trouble with the university's printer. it keeps saying 'out of paper' even though i just put some in.,Library,Medium
I'm interested in the double major program for next year. Could you send me the curriculum requirements when you have a moment?,Academic,Medium
The submission portal for the CS department is returning a database error. Everyone in the class is unable to submit.,Technical,High
The portal for international health records is rejecting my vaccine card. the deadline is tonight at midnight sharp.,Admissions,High
i am an international student and my i-20 was lost in the mail. my flight is tomorrow morning. i need a digital copy signed immediately.,Admissions,High
grade missing for one quiz,Academic,Medium
I need to know the deadline for applying for a student job at the campus library.,Library,Low
i am unable to see my final exam schedule and my first exam is today. the student center is showing a database error.,Academic,High
I need to know the deadline for submitting my application for the graduate school program. Is it tomorrow?,Admissions,Low
academic office optional club registration info,Academic,Low
URGENT!!!!!! I NEED A CALCULATOR FOR MY EXAM IN 10 MINUTES DOES THE LIBRARY LEND THEM????,Library,Medium
"hi, r we allowed to bring our own ergonomic keyboards to the IT computer labs next semester?",Technical,Low
My portal password keeps expiring every week for some reason. This is very inconvenient for me.,Technical,Medium
My student ID card was stolen and I'm worried someone will use it to access the library.,Administration,Medium
Can I extend the due date for my borrowed library books?,Library,Low
urgent certificate required today for embassy appointment,Administration,High
I would like to request a new wastebasket for my dorm room because mine is broken and smells bad.,Housing,Low
I would like to report that my name is misspelled on my I-20 and the embassy rejected it. My flight is on Friday.,Admissions,High
can u tell me if the library has any books on the history of jazz for my music class tomorrow morning? i need it for the exam.,Library,Medium
i need my login reset for the admissions portal i have to upload my final documents by midnight or my offer expires.,Admissions,High
dorm WiFi unstable intermittently,Housing,Medium
Library printer not working.,Library,Low
The towel hook in my dorm bathroom is missing.,Housing,Low
name spelling wrong on student ID card,Administration,Medium
The sink in the communal kitchen is clogged and it's starting to overflow.,Housing,Medium
OMGGGGG the vending machine in the dorm took my three dollars and didnt give me my chips i am so hungry help!!!!,Housing,Low
My dorm room is currently flooding. A pipe burst under my bed and there is an inch of water on the floor already.,Housing,High
academic office info about club activities,Academic,Low
I'm having trouble with the online payment system. It keeps giving me an error message when I try to pay my tuition.,Finance,Medium
how do i request a replacement student id card if mine is just cracked? it still works but looks bad.,Administration,Low
i just found out my application was withdrawn because of a missing fee that I definitely paid. PLEASE CHECK THIS!!,Admissions,Medium
I'm having trouble with the online portal for my student virtual machine request account.,Technical,Medium
The admission portal is showing a message that my offer has been given to another student. I haven't missed any deadlines.,Admissions,High
are there any late fees for tuition?,Finance,Low
"The bursar's office says I still owe money, but my bank statement shows the payment went through last week.",Finance,Medium
I am a prospective student and I'm confused about the application process for international students.,Admissions,Low
acceptance letter missing but deposit deadline is today,Admissions,High
idk how to find the course syllabus for my history class on the new portal. help?,Academic,Low
The lock on my dorm room window is broken and anyone could climb in from the fire escape. I need this fixed tonight for my safety.,Housing,High
I would like to request a copy of the university's policy on intellectual property.,Academic,Low
I am unable to see my financial aid package in the portal and I need to make a decision about which university to attend by tomorrow.,Admissions,High
PLEASE!!!!!! I NEED TO KNOW IF THE CAFE IS SERVING TACOS TODAY OR I WILL DIE OF HUNGER!!!!!!,Housing,Low
"I received an email stating that my scholarship has been revoked because I failed a class, but I actually got an A. I need this corrected before my tuition is due tomorrow.",Finance,High
How do I get a copy of the university's code of conduct for a research paper?,Administration,Low
I tried to use the online booking system for the tennis courts but it's showing no availability for the next month. Is this a bug?,Administration,Low
I noticed that the air conditioning in my dorm room is making a very loud rattling noise and it's keeping me awake.,Housing,Medium
I am writing to report a discrepancy in my financial aid award letter. I was promised a grant that is not appearing on the bill due tomorrow.,Finance,High
I am an international student and my health insurance is showing as active but i was charged for a second policy.,Finance,Medium
Can someone please clarify why my transfer credits from my community college are showing as 'General Electives' instead of major requirements?,Academic,Medium
library info on reading programs for students,Library,Low
I would like to request a formal copy of my academic record for a graduate school application due in two days.,Academic,High
tuition invoice wrong and payment required within 24 hours,Finance,High
The air conditioning in the computer lab is too cold. Can it be adjusted?,Technical,Low
I'm interested in applying for a student job at the mailroom. Who should I contact?,Administration,Low
wifi disconnected during final submission just now,Technical,High
i'm trying to register for a class but it's already full. can i get on the waitlist?,Academic,Medium
application status confusing pls help,Admissions,Medium
urgent admin document needed today for legal filing,Administration,High
I am a doctoral student and my defense date is being canceled because of a clerical error in my registration. My committee is flying in tomorrow.,Academic,High
I would like to request a copy of the official university mission statement for a class research project I'm currently working on.,Administration,Low
Exam registration error again.,Academic,Medium
application status confusing after submission update,Admissions,Medium
dorm maintenance contact info request,Housing,Low
i missed the registration deadline for my last core class due to a medical emergency. i wont be able to graduate without this.,Academic,High
my login for canvas is broken and my final exam window closes in exactly 45 minutes.,Technical,High
URGENT!!!!! I NEED TO KNOW IF THE ADMISSIONS OFFICE IS OPEN ON SATURDAY I NEED TO DROP OFF A PAPER PLS HELP ME!!!!!!!,Admissions,Low
There is a gas smell coming from the stove in the student housing kitchen. Please send someone now.,Housing,High
"Login not working, MFA missing.",Technical,High
i'm having trouble with the wifi in my dorm room. it keeps disconnecting every 5 minutes.,Technical,Medium
Need official letter confirming degree completion.,Administration,Medium
I'm having trouble with the library's online reservation system. It won't let me reserve a study room for more than two hours.,Library,Low
my roommate is smoking in the room and i have severe asthma. i am currently having trouble breathing and need a room change immediately.,Housing,High
My account has been charged twice for the same lab fee and I need the money for groceries this week.,Finance,Medium
MY ROOMMATE IS SO LOUD I LITERALLY CANT SLEEP PLEASE MOVE ME TO A NEW ROOM RIGHT NOW I AM DYING!!!!!!,Housing,Medium
The desk in my dorm room is scratched.,Housing,Low
administration office certificate issuance pending verification,Administration,Medium
I AM LITERALLY SCREAMING BECAUSE THE LIBRARY IS SO COLD I CANT EVEN TYPE PLS TURN THE HEAT UP NOW!!!!!!,Library,Low
i'm havign trouble with the university vpn it keeps sayign my credentials are invalid even though i just changed them yesterday.,Technical,Medium
library printer availability question,Library,Medium
The server that hosts the online final exam is down and the exam is scheduled to start in 10 minutes. Please fix it immediately!,Technical,High
I am an international student and I'm having trouble with the OPT application process. I need my documents endorsed by tomorrow.,Admissions,High
tuition receipt still not showing in account,Finance,Medium
i'm having trouble with the vpn connection from my off-campus apartment. i need to access the lab software.,Technical,Medium
Enrollment verification letter needed urgently.,Administration,Medium
I'm having trouble with the library's online portal for access to digital audio and video collections.,Library,Low
I would like to request a copy of the university's policy on student academic advising from the academic office.,Academic,Low
i want to apply for a parking permit for next semester. when does the application open?,Housing,Low
PLEASE RESPOND ASAP I NEED TO KNOW IF THE CAFE HAS ANY VEGAN OPTIONS I AM SO HUNGRY HELP HELP HELP!!!!!!!,Housing,Medium
my scholarship disbursement is missing from my account and my tuition payment is due by 5pm today or i will be dropped. i am very calm but need this fixed immediately.,Finance,High
I am having trouble finding a research paper in the library's online database.,Library,Low
"The admission portal says my transcript was not received, but the carrier confirmed delivery. The deadline is tonight at midnight.",Admissions,High
my roomate is playing loud music and i have an exam tomorrow morning at 8am. please help me.,Housing,Medium
missing admission confirmation before deposit deadline,Admissions,High
i want to know the deadline for applying for a scholarship for the fall semester.,Finance,Low
I would like to change my meal plan from Platinum to Gold.,Housing,Medium
I would like to know the deadline to apply for the university-wide scholarship program for the next academic year.,Finance,Low
how to reset password for portal?,Technical,Low
The registrar's office is showing me as 'Withdrawn' even though I am sitting in class right now. I have a midterm tomorrow that I can't access.,Academic,High
I would like to request a copy of the university's policy on gifts and entertainment.,Administration,Low
the enrollment system has failed and my registration for the final mandatory class I need is not being processed.,Academic,High
The lock on my door is stuck and I can't leave my room. I have an important group project meeting in 10 mins.,Housing,High
I would like to request a change of roommate for next semester.,Housing,Low
portal keeps logging me out after few minutes,Technical,Medium
The laundry machines in North Hall are all full. Is there any other place I can do my laundry?,Housing,Low
payment processed but page didnt refresh,Finance,Medium
i want to know the university's policy on pets in the dorm. can i have a small turtle in a tank? i miss my pet.,Housing,Low
application portal loading slowly,Admissions,Medium
"I noticed that the university's emergency notification system is not sending alerts to my floor, and we have a local building fire.",Administration,High
IT system showing partially updated MFA info,Technical,Medium
The wastebasket in my dorm room is too small.,Housing,Low
how do i request a copy of my unofficial transcript from the student portal? i just want to see my gpa for a job application.,Academic,Low
The student portal keeps crashing when I try to pay my tuition. the deadline is in two hours and i don't want to lose my spots in the classes.,Technical,High
OMG I AM LITERALLY PANICKING!!!! DO I NEED TO BRING MY OWN TOILET PAPER TO THE DORM OR IS IT PROVIDED?!?!?! PLS ANSWER NOW!!!!!,Housing,Low
urgent ID issue preventing exam access today,Administration,High
Enrollment verification letter needed.,Administration,Low
tuition invoice slightly confusing need clarification,Finance,Medium
What are the requirements for the merit-based scholarship for sophomore students?,Finance,Low
PLEASE RESPOND ASAP I NEED TO KNOW IF THE CAFE HAS ANY GLUTEN FREE OPTIONS I AM SO HUNGRY!!!!!!!,Housing,Medium
dorm room key replacement request,Housing,Medium
The heating in my room in building B has stopped working and it is currently 15 degrees outside. I cannot sleep in these conditions.,Housing,Medium
I'm having trouble with the online portal for my student billing and payment account.,Finance,Medium
Library app freezing.,Library,Low
The software MatLab is failing to launch on the lab computers. It says 'License Error'. We have a project due in 3 days.,Technical,Medium
i'm looking for a tutor for my biology class. can someone help me find one?,Academic,Low
is there any way to get a discount on the laundry services in the housing complex?,Housing,Low
"the wifi in the student lounge is a bit slow today, can someone look at it? thx",Technical,Low
MY ROOMMATE STOLE MY CEREAL AGAIN I AM GOING TO EXPLOAD IF SOMEONE DOESNT MOVE ME TO A SINGLE ROOM RIGHT NOW!!!!!!,Housing,Low
The vanity shelf in my dorm bathroom is cracked.,Housing,Low
I'm having trouble with the online portal for my student health insurance.,Administration,Medium
I am unable to see my final exam schedule on the student portal. When will it be available?,Academic,Low
My roommate is having a severe allergic reaction and their throat is closing. We need the on-call medic now.,Housing,High
room light flickering,Housing,Low
i just lost my id card and i have a proctored exam in 30 minutes. they won't let me in the building without it.,Administration,High
can u tell me if the library has any copies of the book 'the odyssey' for my class tomorrow?,Library,Low
i want to know the hours of the university's bookstore. are they the same as the library?,Library,Low
academic office syllabus clarification,Academic,Medium
"hey, my application portal says I'm missing an English Proficiency test score but I grew up in London. can u waive this?",Admissions,Medium
i want to know the policy for guest parking in the dormitory lot for the weekend? is there a fee?,Housing,Low
admission interview reschedule inquiry,Admissions,Medium
I am unable to register for my mandatory senior seminar because the system says I am a freshman. Enrollment ends in 3 hours.,Academic,High
I am seeing a 'System Failure' message on the financial aid upload page. I need to submit my documents by midnight.,Technical,High
the health insurance premium was deducted twice and now i can't afford the train ticket home for my emergency family situation.,Administration,High
I am unable to login to the library's remote access portal and I have a research paper due tomorrow morning.,Technical,High
The library's printer keeps printing double-sided even when I select single-sided.,Library,Low
hey can u help me find the contact info for the registrar? i have a question about my grades.,Academic,Medium
the university's registrar has me listed as 'deceased' by mistake and now all my accounts and insurance are cancelled. i need help!!,Administration,High
I haven't received my refund check yet and I need it to buy my textbooks for the semester starting tomorrow.,Finance,High
wifi speed slow during evening hours,Technical,Medium
I am writing to request a copy of the official course catalog from 2021 for my personal records. thx.,Academic,Low
"I am writing to inform you that the final grade for my senior project is missing from the portal, and the graduation clearance deadline is in exactly four hours. I am quite calm but this needs immediate attention.",Academic,High
my application status says 'incomplete' but i sent my transcripts weeks ago. my deadline is tomorrow morning.,Admissions,High
Can I get a refund on my meal plan if I have to move off-campus due to a family emergency?,Finance,Medium
I need help with my application for a student scholarship for students in the arts and life sciences.,Finance,Low
my student housing account has been charged for a room i never occupied and the payment is due tomorrow.,Finance,High
the wifi in the math building is down and i have an online quiz that starts in 15 minutes. i am sitting in the lobby.,Technical,High
The mirror light in my dorm bathroom is out.,Housing,Low
fee adjustment not yet reflected in account,Finance,Medium
window latch in dorm needs minor adjustment,Housing,Medium
I found a pair of expensive noise-canceling headphones in the library. I've left them with the librarian.,Library,Low
The sink in room 402 is draining really slowly. It hasn't fully clogged yet but it's getting worse.,Housing,Medium
Can I get a copy of the university's student handbook from the admissions office?,Admissions,Low
"Can't submit assignment, portal crashed.",Technical,High
"A $10,000 loan was applied to my account without my consent. I need this reversed before the interest starts accruing tomorrow.",Finance,High
library overdue fees query,Library,Low
need enrollment letter soon,Administration,Medium
URGENT URGENT URGENT: DOES THE LIBRARY STILL HAVE THE GREEN STAPLER ON THE THIRD FLOOR?? I PREFER THE GREEN ONE!!,Library,Low
The wall in my dorm room has a hole in it.,Housing,Low
PLEASE HURRY THE PRINTER IS MAKING A WEIRD GRINDING NOISE AND I NEED MY HANDOUTS FOR MY PRESENTATION IN 10 MINUTES!!!!!,Library,Medium
library account not showing checked out books,Library,Medium
i want to know the requirements for a degree in psychology. can u send me the brochure?,Academic,Medium
my student id won't let me out of the library's automated exit. i am trapped between the glass doors.,Library,High
i am an international applicant and i haven't received my visa documents. my appointment at the consulate is tomorrow.,Admissions,High
"I am writing to inform you that my scholarship disbursement is missing, and the final tuition deadline is in 4 hours. Failure to pay will result in deregistration.",Finance,High
I am having trouble signing up for the intramural soccer team.,Administration,Low
The student portal is down and I need to pay my enrollment deposit by midnight tonight to secure my spot in the freshman class.,Technical,High
my financial aid package was canceled because i didn't sign a form that i never received. today is the final payment day.,Finance,High
i need to drop a minor but the system says I have to meet with the dean first. is there any way around this?,Academic,Medium
i think i dropped my student id in the library cafe but i dont rly need it until next week so no rush if u find it.,Administration,Low
my student account has been disabled. please help me reactivate it.,Technical,Medium
I noticed that the temperature in the student cafeteria is very high today. Is the air conditioning system working today?,Administration,Low
"hi, i need an enrollment verification letter for my visa application. the current one online has the wrong semester listed.",Administration,Medium
I need help with my application for a student research grant.,Academic,Low
I noticed that the sink in the communal bathroom is clogged and water is not draining.,Housing,Medium
login session expires too quickly,Technical,Medium
I'm having trouble with the online course registration system. It's giving me an error message every time I try to add a class.,Technical,Medium
Does the admissions office accept Duolingo English Test scores?,Admissions,Low
I am an international student and my visa sponsorship needs proof of full-time enrollment by noon today. I can't download the letter.,Administration,High
I was overcharged for my meal plan this month. It shows two payments of $450 instead of one.,Finance,Medium
i want to know if there are any student jobs available in the student housing office for the next semester. thx.,Admissions,Low
Is the library open on weekends?,Library,Low
I would like to request a new chair for my dorm room. My current one is broken.,Housing,Low
dorm minor maintenance request,Housing,Medium
I am an international student and my sponsor needs a final invoice by noon today or they will not release my tuition funds.,Finance,High
is there any way to change my major from biology to psychology? i've decided that i don't like science labs anymore. no hurry.,Academic,Medium
"dorm heater not working, pls advise",Housing,Medium
"Admissions documents partially uploaded, system glitches preventing completion.",Admissions,Medium
I'm having trouble with the 'Submit' button on the course evaluation form.,Technical,Low
I CANT FIND MY DORM ROOM AND IT IS COLD OUTSIDE AND I AM TIRED HELP ME NOW!!!!!!!,Housing,Low
The fire alarm in my dorm room keeps going off for no reason. Please fix it.,Housing,Medium
I am having trouble accessing the online library databases from off-campus.,Library,Medium
how do i connect my nintendo switch to the student wifi? it says the security protocol is unsupported.,Technical,Medium
The MFA prompt for the university portal isn't sending to my phone today. I've tried multiple times.,Technical,Medium
I would like to request a copy of the university's policy on freedom of expression.,Administration,Low
i accidentally deleted my dissertation draft from the cloud and the auto-save is off. the submission portal closes in 2 hours. pls help me recover it.,Technical,High
I need help with my application for a student study abroad program in China.,Academic,Low
I am an international student and my visa sponsor needs a letter of good standing today or my scholarship will be permanently revoked.,Administration,High
the library database for jstor is showing a 'license expired' error. i need this for my research project due in 4 hours.,Library,High
I would like to request an official letter confirming my enrollment for my car insurance company.,Administration,Low
course registration page sometimes fails to load,Academic,Medium
the university's graduation application has misplaced my honors thesis approval and the deadline is today.,Academic,High
The projector in the lecture hall is broken and the professor can't show his slides. Can someone fix it?,Technical,Medium
I would like to inquire about the requirements for the study abroad program in Madrid for the next academic semester.,Academic,Low
The disciplinary committee notice I received has the wrong date for the hearing. I need the corrected timeline before the weekend.,Administration,Medium
A pipe has burst in the rare books collection. Water is currently pouring onto the university's 16th-century archives.,Library,High
I would like to know the deadline to apply for the university's need-based scholarship programs for the next academic year.,Finance,Low
Could someone please tell me the location of the lost and found office?,Administration,Low
can u tell me if the library has any books on 'the odyssey' for my class tomorrow morning?,Library,Medium
the vpn is down and i need to access the lab database for my chemistry project which is due tomorrow morning.,Technical,Medium
admission portal clarification needed,Admissions,Medium
"The university's main database for the history department is down, and my thesis is due at midnight. I have been trying to connect for three hours.",Library,High
I am writing to inform you that the sprinkler system in the computer lab has malfunctioned and is currently spraying the server racks with water.,Technical,High
the whole library just lost power and people are stuck in the elevators. we need emergency lighting now.,Library,High
i'm tryin to figure out how to get a student discount for the local bus pass. do i need a form?,Finance,Low
URGENT!!!!! I NEED TO CHANGE MY PASSWORD RIGHT NOW BECAUSE I THINK SOMEONE SAW ME TYPE IT IN THE LIBRARY!!!!!,Technical,Low
how do i request a transcript for my own personal records? i just want to see my grades.,Academic,Low
I'm having trouble with the online portal for my student career services appointment account.,Administration,Low
I would like to request a copy of the university's policy on remote access and security.,Technical,Low
I'm having trouble with the sink in the communal bathroom. It won't stop running.,Housing,Medium
The system for submitting internship credit is down and the deadline for the summer term is in 4 hours.,Academic,High
i just found a weird bug in the course registration portal. it lets me add classes that i don't have the prerequisites for. should i report this??,Technical,Medium
The ceiling in my dorm bathroom is discolored.,Housing,Low
i'm having trouble downloading the lockdown browser for my quiz tonight. can someone help?,Technical,Medium
The smoke detector in my dorm room is missing.,Housing,High
dorm facilities usage guidelines,Housing,Low
Exam registration page shows unknown error.,Academic,High
I noticed that the light in the dorm hallway is flickering and it's giving me a headache.,Housing,Low
i need help with my application to the medical school. i'm not sure which documents are required.,Admissions,Medium
I am unable to access the graduation ceremony parking passes and I have a disabled family member arriving in 1 hour.,Administration,High
Can I get a copy of the university's student code of conduct?,Administration,Low
The registrar's office lost my graduation application. Today is the absolute final deadline to be included in the ceremony.,Administration,High
I lost my room key and I'm afraid I'll be charged a large fee. How much is it?,Housing,Low
i have a question about the university's housing policy. can i have a guest stay overnight?,Housing,Low
Someone stole my laptop from my dorm room and I have my final capstone project due tomorrow at 8 AM. I need security footage.,Housing,High
"The university's system for submitting health insurance waivers is offline and the $1,500 fee will be charged to my account at midnight today.",Finance,High
The sink in my dorm room is clogged.,Housing,Medium
academic office course registration portal partially functional,Academic,Medium
Can I get a copy of the university's non-discrimination policy for my research paper?,Administration,Low
my roommate is playing music at 3am and i have a slight headache. can someone come tell them to stop right now i am so stressed out!!,Housing,Low
I paid for a parking permit online but I haven't received the physical sticker yet. Can I still park on campus?,Administration,Medium
i need a replacement id card immediately becouse i lost mine and i cant get into the testing center for my certification exam in an hour.,Administration,High
my thesis is on the library's network drive and i can't access it. it's due in 90 minutes. help!!,Library,High
library book renewal process question,Library,Low
The sink in the communal bathroom is clogged and overflowing.,Housing,Medium
i am calm but i need to report that my financial aid award has been cancelled three hours before the tuition deadline.,Finance,High
I need help with my application for a student scholarship for students in the arts and social sciences.,Finance,Low
uploaded docs show pending review for long,Admissions,Medium
I would like to request a new chair for my dorm room. My current one is broken and quite unstable.,Housing,Low
"Library booking system slow, can't reserve books.",Library,Medium
I am an international applicant and I haven't received any word from the office of admissions on whether my application is complete.,Admissions,Medium
the wifi in the laundry room is super slow today. i can't watch my netflix while i wait for my clothes. can someone look at the router next week?,Technical,Low
course slots not reflected properly after update,Academic,Medium
certificate needed today for visa submission,Administration,High
MFA not working and assignment due within hours,Technical,High
I am a prospective student and I would like to know if you offer any graduate scholarships for international students.,Admissions,Low
could you tell me if the library has any group study rooms available for next month? i want to be organized.,Library,Low
"Dorm heater broken, very cold.",Housing,Medium
How can I get a copy of the campus bus schedule for the weekends?,Administration,Low
I found a bug in the library book search engine; it won't allow me to filter by year.,Library,Low
My transcript indicates a 'Fail' for a capstone course I never registered for. I am very calm but this must be corrected before graduation clearance today.,Academic,High
OMG URGENT I NEED TO KNOW THE MENU FOR THE CAFE TODAY I AM LITERALLY STARVING PLS HELP ME!!!!!!!,Housing,Low
I would like to request a copy of the university's mission statement.,Administration,Low
I am stuck in the elevator in the North Dorm. The emergency button isn't making any sound. Please help.,Housing,High
I am calm but i need to report that my password was changed without permission and i cannot access my final project due tonight.,Technical,High
I'm having trouble with the library's online search for journals.,Library,Low
i'm having a hard time finding a specific book on the shelf. it says it's in but i don't see it.,Library,Medium
i have a question about my financial aid package. i haven't received my award letter yet.,Finance,Medium
idk how to check the balance on my student id card for laundry. is there a website for that or an app?,Administration,Low
i am calm but i need to report that my name is misspelled on the graduation certificates being printed tonight. please fix.,Administration,High
my laptop with my final project was stolen from the computer lab. i need to see if there is any cloud backup on the server.,Technical,High
The dormitory's main electrical breaker is sparking and smells like burning plastic. We need an electrician immediately before a fire starts.,Housing,High
i'm trying to register for classes but the system says i haven't met the prerequisites for a class i've already taken.,Academic,Medium
The university's system for submitting graduate school applications is down and the deadline is in four hours. i am calm.,Admissions,High
I found an error on my Form 1098-T for my taxes. The amount in Box 1 is different from what I actually paid.,Finance,Medium
My student ID card is cracked and won't swipe at the laundry machines. How much does it cost to get a new one?,Administration,Low
My transcript is missing two whole semesters of grades. I need these added today for my medical school application due tonight.,Academic,High
The student portal is down and I need to register for classes that open in 5 minutes.,Technical,High
how to get a copy of student handbook,Administration,Low
The light in the hallway outside my room is out and it's very dark at night.,Housing,Low
"I have an emergency grade dispute. The professor changed my B+ to a C- after I questioned a rubric, and I now fall below the 3.0 GPA required for my scholarship.",Academic,High
"i am trying to submit my final application for the medical school bridge program, but the 'submit' button is greyed out. the deadline is in one hour.",Admissions,High
what documents needed for admission?,Admissions,Low
I am an international student and my health insurance is showing as active but i was charged for a second policy on my student university bill.,Finance,Medium
The bursar's office charged me twice for the meal plan. I would appreciate it if you could investigate this when you have a moment this week.,Finance,Medium
I would like to request a copy of the university's policy on hazardous waste management.,Academic,Low
ID card not working and exam in few hours,Administration,High
I noticed that the temperature in the student cafeteria is very high today. Is the air conditioning system even working on this floor?,Administration,Low
The campus email system is not receiving external emails. I am waiting on a time-sensitive internship offer due by 5 PM.,Technical,High
